,Title,Price,Author,Publish,Publish Date
0,파이썬 아키텍처 패턴,"38,700",제이미 부엘타,에이콘출판,2024년 08월 28일
1,이지파이썬 1,"14,400",한국인공지능아카데미,클라우드북스,2024년 09월 01일
2,이지파이썬 2,"14,400",한국인공지능아카데미,클라우드북스,2024년 09월 01일
3,파이썬과 코랩기반의 OpenCV로 배우는 영상처리,"22,500",고병철,그린,2024년 08월 30일
4,[무료특별판] 미국 주식으로 시작하는 슬기로운 퀀트투자,무료도서,김용환,한빛미디어,2021년 10월 29일
5,초보자를 위한 파이썬(Python) 200제,"18,000",장삼용,정보문화사,2017년 02월 27일
6,[epub3.0] (Better Python Code)파이썬 코딩의 기술 51,10,"데이비드 메르츠 저자, 김진호 번역",길벗,2024년 07월 18일
7,파이썬으로 시작하는 데이터 분석,"19,800",강지영,아이리포,2021년 07월 15일
8,생활코딩! 파이썬,"16,200",이고잉,범,2020년 03월 23일
9,누구나 할 수 있다 파이썬 Python 기초,10,박빈,와이웨이브이퍼블리싱,2024년 03월 22일
10,파이썬(Python),10,박병기,아티오,2017년 01월 17일
11,초보자를 위한 파이썬(Python) 200제,10,장삼용,정보문화사,2017년 03월 07일
12,"Python(파이썬)과 Matplotlib, NumPy, Pandas",10,양원영,유페이퍼,2021년 03월 17일
13,마야 파이썬 2024,"25,000","신동선, 김경문",퍼플,2024년 01월 24일
14,마야 파이썬 2024,10,신동선,e퍼플,2024년 01월 19일
15,Head First Python,10,폴 배리,한빛미디어,2017년 12월 11일
16,파이썬(Python) 3학년 머신러닝의 구조,"16,200",모리 요시나오,성안당,2023년 09월 20일
17,파이썬(Python) 3학년 머신러닝의 구조,10,모리 요시나오,성안당,2023년 09월 12일
18,작심 3일 파이썬 Python,"16,200",황덕창,스포트라잇북,2019년 04월 25일
19,파이썬 딥러닝 파이토치(Python Deep Learning PyTorch),10,이경택,정보문화사,2020년 11월 27일
20,2024 빅데이터분석기사 실기 한권완성: 파이썬(Python),"27,000",최예신,예문에듀,2024년 05월 20일
21,알고리즘과 자료구조(자바+파이썬),10,조민호,정보문화사,2018년 10월 01일
22,파이썬(Python) 2학년 스크래핑의 구조,10,이영란,성안당,2021년 12월 06일
23,Do it! 점프 투 파이썬,"19,800",박응용,이지스퍼블리싱,2023년 06월 15일
24,혼자 공부하는 파이썬,"19,800",윤인성,한빛미디어,2022년 06월 01일
25,파이썬과 40개의 작품들,"16,920",장문철,앤써북,2022년 02월 28일
26,밑바닥부터 시작하는 딥러닝,"21,600",사이토 고키,한빛미디어,2017년 01월 03일
27,"파이썬컴퓨팅 (2학기, 워크북 포함)","15,700",한종대,KNOUPRESS,2024년 07월 25일
28,엑셀X파이썬,"22,500",정성일,길벗,2024년 07월 30일
29,파이썬과 자바스크립트로 배우는 OpenAI 프로그래밍,"28,800",쇼다 쓰야노,제이펍,2024년 08월 16일
30,코딩 자율학습 나도코딩의 파이썬 입문,"21,600",나도코딩,길벗,2023년 02월 20일
31,파이썬 시계열 예측 분석,"34,200",마르쿠 페이셰이루,제이펍,2024년 07월 15일
32,혼자 공부하는 데이터 분석 with 파이썬,"23,400",박해선,한빛미디어,2023년 01월 02일
33,챗GPT로 만드는 주식 & 암호화폐 자동매매 시스템,"18,000",설근민,제이펍,2023년 11월 17일
34,오렌지3 with 파이썬,"27,000",김현철,생능북스,2024년 07월 15일
35,25가지 문제로 배우는 LLM 입문 with 파이썬,"25,200",요시키 간다,루비페이퍼,2024년 07월 18일
36,이것이 취업을 위한 코딩 테스트다 with 파이썬,"30,600",나동빈,한빛미디어,2020년 08월 05일
37,커리어 스킬업 파이썬 업무 자동화,"23,400",손원준,길벗,2024년 06월 20일
38,밑바닥부터 시작하는 딥러닝 4,"27,000",사이토 고키,한빛미디어,2024년 01월 26일
39,Do it! 점프 투 파이썬,10,박응용 저자,이지스퍼블리싱,2023년 06월 20일
40,챗GPT API를 활용한 챗봇 만들기,"28,800",이승우,한빛미디어,2024년 03월 20일
41,파이썬 머신러닝 완벽 가이드,"36,000",권철민,위키북스,2022년 04월 21일
42,챗GPT와 파이썬으로 주식 자동매매 앱 및 웹 투자 리포트 만들기,"15,120",박찬의,앤써북,2024년 05월 20일
43,이미지 처리 바이블,"39,600",류태선,길벗,2024년 04월 30일
44,비전공자를 위한 이해할 수 있는 파이썬,"22,320",최원영,티더블유아이지,2024년 06월 24일
45,파이썬으로 구현하는 로보어드바이저,"32,400",윤성진,에이콘출판,2024년 07월 31일
46,밑바닥부터 시작하는 딥러닝 2,"26,100",사이토 고키,한빛미디어,2019년 05월 01일
47,실무로 통하는 인과추론 with 파이썬,"34,200",마테우스 파쿠레,한빛미디어,2024년 03월 05일
48,마이크로 파이썬을 활용해 사물인터넷(IoT) 프로젝트 만들기 with ESP32,"20,700",장문철,앤써북,2024년 02월 25일
49,인공지능,"33,000",천인국,인피니티북스,2023년 03월 10일
50,OpenAI API와 파이썬으로 나만의 챗GPT 만들기,"21,600",오기와라 유이,위키북스,2024년 04월 19일
51,"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로","39,600",세바스찬 라시카,길벗,2021년 03월 31일
52,데이터 과학을 위한 통계,"30,600",피터 브루스,한빛미디어,2021년 05월 07일
53,파이썬 코딩의 기술 51,"29,700",데이비드 메르츠,길벗,2024년 07월 15일
54,파이썬 텍스트 마이닝 완벽 가이드,"27,000",박상언,위키북스,2023년 02월 28일
55,밑바닥부터 시작하는 딥러닝,10,사이토 고키,한빛미디어,2017년 07월 18일
56,파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비,"27,900",데싸라면,시대고시기획,2024년 06월 20일
57,처음 시작하는 FastAPI,"23,400",빌 루바노빅,한빛미디어,2024년 06월 30일
58,코딩 테스트 합격자 되기: 파이썬 편,"36,000",박경록,골든래빗(주),2023년 11월 15일
59,챗GPT와 업무자동화,"16,200",김철수,위키북스,2023년 03월 21일
60,파이썬 알고리즘 인터뷰,"34,200",박상길,책만,2020년 07월 15일
61,Do it! 쉽게 배우는 파이썬 데이터 분석,"20,700",김영우,이지스퍼블리싱,2022년 05월 31일
62,자료구조와 알고리즘 with 파이썬,"21,600",최영규,생능북스,2023년 11월 20일
63,챗GPT로 만드는 주식 & 암호화폐 자동매매 시스템,10,설근민,제이펍,2023년 12월 14일
64,"파이썬과R(2학기, 워크북 포함)","15,800",심송용,KNOUPRESS,2020년 07월 25일
65,LangChain으로 구현하는 LLM,"31,500",벤 아우파스,에이콘출판,2024년 03월 29일
66,혼자 공부하는 파이썬,10,윤인성,한빛미디어,2022년 05월 25일
67,밑바닥부터 시작하는 딥러닝 3,"34,200",사이토 고키,한빛미디어,2020년 11월 10일
68,Do it! 일상이 자동화되는 파이썬 생활 프로그래밍 with 챗GPT : 비전공자도 오늘부터 바로 프로그램 만든다!,10,김창현 저자,이지스퍼블리싱,2024년 01월 30일
69,파이썬을 이용한 딥러닝/강화학습 주식투자,"27,000",퀀티랩,위키북스,2022년 03월 30일
70,미국 주식으로 시작하는 슬기로운 퀀트투자,"28,800",김용환,한빛미디어,2021년 09월 30일
71,파이썬 머신러닝 판다스 데이터 분석,"27,000",오승환,정보문화사,2024년 06월 25일
72,Do it! 점프 투 파이썬: 라이브러리 예제 편,"23,400",박응용,이지스퍼블리싱,2022년 05월 25일
73,비전공자를 위한 이해할 수 있는 파이썬,10,최원영,티더블유아이지,2024년 07월 01일
74,파이썬 텍스트 마이닝 완벽 가이드,10,박상언,위키북스,2023년 07월 20일
75,혼자 공부하는 데이터 분석 with 파이썬,10,박해선,한빛미디어,2023년 01월 09일
76,파이썬 코딩의 기술,"28,800",브렛 슬라킨,길벗,2020년 10월 30일
77,모두의 데이터 분석 with 파이썬,"16,200",송석리,길벗,2019년 04월 25일
78,가장 빠른 풀스택을 위한 Flask & FastAPI,"29,700",Dave Lee,비제이퍼블릭,2024년 05월 21일
79,파이썬 코딩 도장,"27,000",남재윤,길벗,2023년 01월 30일
80,Do it! 알고리즘 코딩 테스트: 파이썬 편,"28,800",김종관,이지스퍼블리싱,2022년 08월 16일
81,파이썬 클린 코드,"26,100",마리아노 아나야,터닝포인트,2022년 11월 11일
82,쉽게 따라 만드는 파이썬 주식 자동매매 시스템,"25,200",박준성,길벗,2021년 10월 14일
83,만들면서 배우는 나만의 인공지능 서비스,"25,200",최은석,위키북스,2023년 09월 06일
84,밑바닥부터 시작하는 딥러닝. 3,10,사이토 고키,한빛미디어,2020년 11월 30일
85,밑바닥부터 시작하는 딥러닝 2,10,사이토 고키,한빛미디어,2019년 06월 03일
86,문제해결 파이썬 with 기본 수학,"18,000",이경미,길벗,2023년 06월 20일
87,인과관계 추론과 발견 with Python,"37,000",김민경,홍릉,2024년 02월 23일
88,쉽게 배우는 자료구조 with 파이썬,"29,000",문병로,한빛아카데미,2022년 01월 16일
89,Do it! 일상이 자동화되는 파이썬 생활 프로그래밍 with 챗GPT,"21,600",김창현,이지스퍼블리싱,2024년 01월 30일
90,난생처음 파이썬 프로그래밍,"24,000",우재남,한빛아카데미,2021년 06월 28일
91,따라하며 배우는 파이썬과 데이터 과학,"29,000",천인국,생능출판,2023년 11월 20일
92,파이썬 플라스크 웹 앱 개발 입문,"34,200",사토 마사키,에이케이커뮤니케이션즈,2023년 02월 10일
93,두근두근 파이썬,"25,000",천인국,생능출판,2023년 01월 05일
94,Hello Coding 한입에 쏙 파이썬,"13,500",김왼손,한빛미디어,2018년 06월 20일
95,파이썬 FastAPI 개발 입문,"31,680",나카무라 쇼,에이케이커뮤니케이션즈,2024년 03월 15일
96,파이썬 데이터 분석 & 시각화 + 웹 대시보드 제작하기,"15,930",박찬의,앤써북,2024년 01월 31일
97,파이썬 + AI,"25,200",안용제,디지털북스,2024년 07월 15일
98,파이썬 데이터 사이언스 핸드북,"34,200",제이크 밴더플래스,위키북스,2023년 03월 30일
99,데이터 조작과 시각화 파이썬 코드북,"25,200",조정임,알고보니,2024년 06월 17일
